iter	MultiRMSE
0	22.23650806
1	22.21673053
2	22.19452389
3	22.17503824
4	22.15746127
5	22.14437153
6	22.12978969
7	22.10590505
8	22.08848892
9	22.06919553
10	22.0521166
11	22.03381734
12	22.0133797
13	21.99198315
14	21.96525756
15	21.94448956
16	21.92609491
17	21.90462905
18	21.87850259
19	21.85839072
20	21.8354994
21	21.8323756
22	21.81119477
23	21.79288496
24	21.77502008
25	21.75162365
26	21.7338257
27	21.71679037
28	21.69708908
29	21.68358845
30	21.66373112
31	21.64438682
32	21.62258052
33	21.60464446
34	21.58576313
35	21.57133437
36	21.55727678
37	21.54119362
38	21.52202147
39	21.5038914
40	21.48554646
41	21.46915405
42	21.45113473
43	21.43561774
44	21.41859394
45	21.39537637
46	21.37225582
47	21.35581765
48	21.33273319
49	21.32047795
50	21.307371
51	21.29089618
52	21.27815271
53	21.26246894
54	21.24903996
55	21.23021564
56	21.20815569
57	21.19494463
58	21.18078277
59	21.16412404
60	21.14461258
61	21.11920123
62	21.10109326
63	21.08109694
64	21.06293862
65	21.04741009
66	21.02878729
67	21.01119827
68	20.9939254
69	20.97388676
70	20.96149411
71	20.93828663
72	20.92386555
73	20.90694062
74	20.8855936
75	20.86241436
76	20.84423387
77	20.82668775
78	20.80908983
79	20.79253722
80	20.77523488
81	20.75916027
82	20.74489042
83	20.72275648
84	20.70747889
