iter	Passed	Remaining
0	23	115644
1	44	112093
2	66	110795
3	88	110466
4	110	110404
5	132	110519
6	154	110186
7	177	110705
8	198	110250
9	220	109960
10	243	110322
11	264	109950
12	286	109822
13	307	109669
14	329	109567
15	351	109494
16	373	109385
17	395	109378
18	416	109313
19	438	109207
20	461	109375
21	483	109340
22	505	109401
23	527	109295
24	548	109208
25	570	109173
26	592	109157
27	614	109175
28	636	109109
29	658	109113
30	681	109174
31	702	109068
32	724	109055
33	747	109176
34	769	109118
35	792	109215
36	814	109215
37	836	109199
38	858	109182
39	880	109176
40	902	109202
41	924	109100
42	946	109085
43	967	109003
44	990	109012
45	1012	109026
46	1034	108980
47	1056	108946
48	1077	108903
49	1099	108869
50	1121	108855
51	1143	108788
52	1165	108744
53	1186	108718
54	1208	108687
55	1231	108685
56	1252	108605
57	1273	108543
58	1295	108516
59	1317	108488
60	1339	108472
61	1361	108471
62	1383	108401
63	1405	108389
64	1427	108345
65	1448	108317
66	1470	108288
67	1492	108238
68	1514	108227
69	1536	108203
70	1558	108189
71	1579	108092
72	1600	108052
73	1623	108040
74	1644	107999
75	1666	107983
76	1688	107967
77	1710	107940
78	1733	107985
79	1757	108085
80	1779	108082
81	1801	108060
82	1823	108029
83	1844	107972
84	1866	107929
85	1889	107938
86	1909	107854
87	1931	107834
88	1954	107848
89	1976	107829
90	1998	107832
91	2020	107801
92	2043	107816
93	2065	107776
94	2086	107745
95	2109	107746
96	2131	107733
97	2153	107716
98	2175	107675
99	2197	107654
100	2218	107630
101	2240	107599
102	2262	107578
103	2284	107547
104	2306	107509
105	2328	107507
106	2349	107462
107	2372	107454
108	2393	107417
109	2415	107399
110	2438	107387
111	2459	107357
112	2482	107353
113	2504	107331
114	2526	107302
115	2547	107248
116	2569	107231
117	2591	107221
118	2613	107185
119	2634	107145
120	2657	107141
121	2678	107107
122	2701	107099
123	2723	107113
124	2746	107118
125	2768	107101
126	2790	107055
127	2811	107019
128	2833	106979
129	2855	106980
130	2878	106996
131	2899	106948
132	2921	106923
133	2943	106874
134	2963	106799
135	2987	106858
136	3010	106848
137	3030	106784
138	3052	106764
139	3074	106727
140	3096	106717
141	3118	106673
142	3139	106643
143	3161	106626
144	3183	106576
145	3205	106564
146	3226	106502
147	3248	106497
148	3269	106449
149	3291	106431
150	3313	106412
151	3335	106384
152	3356	106347
153	3379	106335
154	3401	106324
155	3423	106315
156	3445	106283
157	3467	106268
158	3489	106242
159	3511	106224
160	3533	106199
161	3554	106159
162	3576	106122
163	3596	106067
164	3618	106047
165	3640	106016
